Room_Type,Day_Type,Season,Guests,Extra_Guests,Base_Price
AC Cottage,Weekday,Monsoon,1,1,3342
AC Cottage,Weekday,New Year,2,0,6530
AC Cottage,Weekday,Summer,1,1,4566
AC Executive Rooms,Weekend,Summer,2,2,5414
AC Cottage,Weekday,Festival,2,2,5159
AC Suite Room With Jacuzzi,Weekend,Normal,1,3,8099
AC Executive Suite Room,Weekend,New Year,5,0,16494
AC Deluxe Cottage,Weekday,Festival,1,2,7424
AC Executive Rooms,Weekend,New Year,1,0,8546
AC Suite Room With Jacuzzi,Weekend,Normal,2,0,8389
AC Executive Suite Room,Weekend,Monsoon,3,2,7363
AC Suite Room With Jacuzzi,Weekend,Normal,5,1,8546
AC Suite Room With Jacuzzi,Weekday,Festival,4,2,11895
AC Executive Rooms,Weekday,Monsoon,1,1,4220
AC Cottage,Weekend,Festival,2,0,5216
AC Executive Rooms,Weekend,Summer,2,3,5452
AC Deluxe Cottage,Weekday,Monsoon,1,1,4181
AC Executive Rooms,Weekend,New Year,2,3,8870
AC Suite Room With Jacuzzi,Weekday,New Year,4,0,14547
AC Cottage,Weekday,Summer,1,3,4505
AC Cottage,Weekend,Festival,2,2,5994
AC Executive Rooms,Weekday,Normal,2,2,4057
AC Executive Suite Room,Weekend,Summer,8,0,12976
AC Executive Suite Room,Weekday,New Year,2,2,16723
AC Executive Rooms,Weekday,Summer,2,1,5276
AC Executive Rooms,Weekday,New Year,2,3,8519
AC Cottage,Weekend,Monsoon,1,0,3446
AC Executive Rooms,Weekday,Normal,2,0,4500
AC Executive Rooms,Weekday,Summer,2,1,5135
AC Executive Rooms,Weekend,Summer,1,2,5204
AC Executive Suite Room,Weekend,New Year,8,0,15507
AC Suite Room With Jacuzzi,Weekday,Monsoon,1,1,6102
AC Suite Room With Jacuzzi,Weekday,Normal,6,0,6234
AC Cottage,Weekday,Monsoon,1,1,3485
AC Deluxe Cottage,Weekday,New Year,1,3,8748
AC Deluxe Cottage,Weekend,Summer,1,0,5337
AC Deluxe Cottage,Weekend,Festival,2,3,7442
AC Cottage,Weekday,Normal,2,2,3909
AC Cottage,Weekday,Summer,1,3,4271
AC Deluxe Cottage,Weekday,Monsoon,2,1,4247
AC Cottage,Weekend,New Year,1,0,7167
AC Executive Rooms,Weekday,Normal,1,1,4208
AC Deluxe Cottage,Weekend,Summer,2,0,5084
AC Deluxe Cottage,Weekday,Festival,2,3,7146
AC Deluxe Cottage,Weekend,Summer,1,2,5111
AC Cottage,Weekday,Monsoon,1,0,3798
AC Deluxe Cottage,Weekday,Normal,1,1,4035
AC Executive Rooms,Weekday,Summer,2,0,5482
AC Executive Rooms,Weekday,New Year,1,0,8929
AC Executive Rooms,Weekend,Monsoon,1,2,3922
AC Executive Suite Room,Weekend,Summer,5,3,12323
AC Cottage,Weekday,Festival,1,0,5550
AC Suite Room With Jacuzzi,Weekend,Summer,3,0,9400
AC Suite Room With Jacuzzi,Weekend,Monsoon,2,3,6353
AC Executive Rooms,Weekend,New Year,1,2,9454
AC Cottage,Weekday,Monsoon,1,0,3766
AC Suite Room With Jacuzzi,Weekend,Monsoon,5,1,6234
AC Executive Suite Room,Weekday,Monsoon,8,2,7927
AC Cottage,Weekday,Festival,2,0,5003
AC Executive Suite Room,Weekday,Monsoon,3,3,7564
AC Deluxe Cottage,Weekday,Normal,1,1,4279
AC Cottage,Weekend,New Year,1,3,6630
AC Cottage,Weekend,Monsoon,1,2,3415
AC Suite Room With Jacuzzi,Weekday,Monsoon,5,3,6497
AC Executive Rooms,Weekday,Summer,1,1,5451
AC Deluxe Cottage,Weekday,Summer,2,3,5410
AC Suite Room With Jacuzzi,Weekend,Summer,6,0,8891
AC Cottage,Weekend,Summer,1,3,4379
AC Executive Suite Room,Weekday,Summer,1,1,12408
AC Executive Suite Room,Weekend,Normal,5,2,11656
AC Executive Rooms,Weekend,New Year,2,0,8618
AC Executive Suite Room,Weekday,New Year,5,0,15222
AC Executive Rooms,Weekend,Monsoon,2,3,4110
AC Executive Rooms,Weekday,Festival,1,2,7022
AC Deluxe Cottage,Weekday,New Year,1,2,8941
AC Cottage,Weekend,New Year,2,0,7237
AC Executive Suite Room,Weekend,Festival,6,3,13713
AC Executive Suite Room,Weekday,Summer,7,3,12693
